City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,14.54,91,37,4.99,NZ,1703029925
1,nagar karnul,16.4821,78.3247,16.98,83,59,3.32,IN,1703029944
2,adamstown,-25.066,-130.1015,23.03,77,96,7.4,PN,1703029929
3,lucapa,-8.4192,20.7447,19.44,91,100,1.1,AO,1703029945
4,jabor,5.921,169.6434,27.87,81,100,10.38,MH,1703029945
5,manokwari,-0.8667,134.0833,27.97,73,99,1.92,ID,1703029945
6,bubaque,11.2833,-15.8333,26.85,50,71,6.86,GW,1703029945
7,papatowai,-46.5619,169.4708,23.74,55,100,1.75,NZ,1703029943
8,kiruna,67.8557,20.2251,-4.49,93,100,2.57,SE,1703029945
9,bethel,41.3712,-73.414,3.17,61,100,3.09,US,1703029946
10,alaghsas,17.0187,8.0168,19.5,17,69,3.77,NE,1703029946
11,kasama,-10.2129,31.1808,17.65,95,93,1.1,ZM,1703029946
12,djamaa,33.5339,5.9931,13.69,60,77,5.51,DZ,1703029946
13,bredasdorp,-34.5322,20.0403,15.65,86,7,0.68,ZA,1703029923
14,stawell,-37.05,142.7667,16.72,38,0,8.18,AU,1703029947
15,port-aux-francais,-49.35,70.2167,4.55,81,49,14.91,TF,1703029922
16,albany,42.6001,-73.9662,-0.79,76,67,4.81,US,1703029926
17,puerto lempira,15.2667,-83.7667,24.08,94,75,9.26,HN,1703029947
18,brits,-25.6347,27.7802,20.16,67,58,6.63,ZA,1703029947
19,namibe,-15.1961,12.1522,22.71,77,89,3.32,AO,1703029947
20,kudahuvadhoo,2.6708,72.8944,27.98,78,52,3.02,MV,1703029948
21,vilyuchinsk,52.9306,158.4028,-13.85,82,100,3.29,RU,1703029924
22,puerto ayora,-0.7393,-90.3518,25.31,94,95,2.24,EC,1703029925
23,spring creek,40.7266,-115.5859,5.83,56,100,2.08,US,1703029764
24,jamestown,42.097,-79.2353,-0.23,93,100,2.06,US,1703029717
25,invercargill,-46.4,168.35,25.92,51,100,1.88,NZ,1703029668
26,edinburgh of the seven seas,-37.0676,-12.3116,16.54,92,80,8.13,SH,1703029925
27,longyearbyen,78.2186,15.6401,-7.09,63,0,9.77,SJ,1703029949
28,kavalerovo,44.2661,135.0572,-20.25,78,10,4.02,RU,1703029949
29,chernyshevskiy,63.0128,112.4714,-35.38,100,36,1.36,RU,1703029949
30,kodiak,57.79,-152.4072,0.73,86,0,5.66,US,1703029726
31,cockburn town,21.4612,-71.1419,25.26,82,98,9.96,TC,1703029949
32,chibougamau,49.9168,-74.3659,-11.21,85,100,3.6,CA,1703029950
33,iqaluit,63.7506,-68.5145,-21.15,65,40,6.17,CA,1703029927
34,nova sintra,14.8667,-24.7167,20.65,72,100,10.08,CV,1703029950
